dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,31,1236,val,0.1282,0.903,0.8819,0.9653,0.9174,0.9169,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,32,1272,val,0.1334,0.8528,0.7624,0.927,0.8658,0.852,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,33,1316,val,0.15,0.7693,0.5382,0.9039,0.8016,0.7533,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,final,-1,1236,test,-1,0.8907,0.8676,0.9623,0.8967,,mean,-1,810,294,2237,80
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,0,120,val,0.8582,0.7407,0.4277,0.5629,0.2886,0.505,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,1,156,val,0.6054,0.7395,0.4707,0.6925,0.3953,0.5745,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,2,192,val,0.5215,0.7401,0.4253,0.7516,0.5116,0.6071,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,3,228,val,0.3498,0.764,0.5712,0.757,0.5378,0.6575,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,4,264,val,0.3561,0.7775,0.6568,0.7987,0.5779,0.7027,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,5,300,val,0.2698,0.7926,0.7107,0.8441,0.6154,0.7407,mean,1,-1,-1,-1,-1
